URL_ID,POSITIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVG_SENTENCE_LENGTH,PERCENTAGE_COMPLEX_WORDS,FOG_INDEX,COMPLEX_WORD_COUNT,WORD_COUNT,SYLLABLE_PER_WORD,PERSONAL_PRONOUNS,AVG_WORD_LENGTH
bctech2046,9,2,0.636363578512402,0.046025104409936804,17.071428571428573,0.3682008368200837,6.975851763299463,88,239,2.414225941422594,5,7.418410041841004
bctech2047,11,3,0.5714285306122479,0.04895104877989144,28.6,0.3986013986013986,11.599440559440561,114,286,2.3916083916083917,3,7.27972027972028
bctech2048,10,3,0.5384614970414233,0.051181102160704324,23.09090909090909,0.3543307086614173,9.378095919828203,90,254,2.311023622047244,4,7.161417322834645
bctech2049,13,5,0.4444444197530878,0.050991501271978754,17.65,0.3597733711048159,7.203909348441925,127,353,2.3257790368271953,11,7.0821529745042495
bctech2050,12,3,0.5999999600000027,0.053003533381612955,18.866666666666667,0.3745583038869258,7.696489988221437,106,283,2.420494699646643,4,7.381625441696113
bctech2051,16,3,0.684210490304711,0.057057056885714545,23.785714285714285,0.3993993993993994,9.674045474045474,133,333,2.4474474474474475,4,7.387387387387387
bctech2052,16,2,0.7777777345679036,0.06741573008458528,16.6875,0.3445692883895131,6.812827715355806,92,267,2.284644194756554,6,6.99625468164794
bctech2053,10,2,0.6666666111111158,0.040677965963803506,18.4375,0.3525423728813559,7.516016949152543,104,295,2.477966101694915,11,8.0
bctech2054,17,5,0.5454545206611581,0.07006369404438315,11.214285714285714,0.3184713375796178,4.613102820746133,100,314,2.213375796178344,18,6.821656050955414
bctech2055,21,9,0.3999999866666671,0.08695652148708255,11.129032258064516,0.3507246376811594,4.5919027582982705,121,345,2.234782608695652,8,6.971014492753623
bctech2056,10,5,0.3333333111111126,0.04249291772664896,13.074074074074074,0.3654390934844193,5.375805267023398,129,353,2.303116147308782,7,7.195467422096317
bctech2057,10,3,0.5384614970414233,0.04467353936538303,20.785714285714285,0.3333333333333333,8.447619047619048,97,291,2.2852233676975944,3,7.185567010309279
bctech2058,9,2,0.636363578512402,0.05116279045970795,30.714285714285715,0.3767441860465116,12.436411960132892,81,215,2.437209302325581,3,7.586046511627907
